rxnorm_cuix,exclude_steriods,exclude_steriods_sens
616830,1,1
616817,1,1
1360294,1,1
1359749,1,1
1360293,1,1
616819,1,1
1359748,1,1
1360403,1,1
706455,1,1
202279,1,1
1359921,1,1
1359464,1,1
1359991,1,1
1359714,1,1
1359571,1,1
1359778,1,1
1360509,1,1
1360064,1,1
1359750,1,1
1359546,1,1
746412,1,1
349094,1,1
351109,1,1
1360074,1,1
1148653,1,1
252559,1,1
1359984,1,1
1148654,1,1
706454,1,1
409732,1,1
247047,1,1
141917,1,1
597829,1,1
1360200,1,1
1360128,1,1
1360402,1,1
1359816,1,1
1598638,1,1
1359993,1,1
249560,1,1
1359660,1,1
1359920,1,1
1148643,1,1
1360026,1,1
1359779,1,1
104568,1,1
1360218,1,1
746820,1,1
361834,1,1
746198,1,1
377279,1,1
746194,1,1
746403,1,1
746190,1,1
895996,1,1
896001,1,1
746201,1,1
896323,1,1
966538,1,1
966611,1,1
1085799,1,1
896243,1,1
895970,1,1
896235,1,1
896006,1,1
966542,1,1
1085797,1,1
966529,1,1
1490668,1,1
1246290,1,1
746823,1,1
896212,1,1
1246306,1,1
799040,1,1
966524,1,1
1490774,1,1
799037,1,1
790276,1,1
1291866,1,1
966526,1,1
896245,1,1
896185,1,1
896019,1,1
896237,1,1
1246310,1,1
1593076,1,1
896271,1,1
1536144,1,1
896229,1,1
1493474,1,1
1248846,1,1
896273,1,1
895994,1,1
895999,1,1
896321,1,1
966536,1,1
746199,1,1
1490773,1,1
896324,1,1
895968,1,1
1490780,1,1
896244,1,1
896004,1,1
896239,1,1
966540,1,1
966527,1,1
966522,1,1
1490666,1,1
896236,1,1
1536142,1,1
966525,1,1
896231,1,1
1246314,1,1
1246308,1,1
1246288,1,1
1085798,1,1
896184,1,1
1493473,1,1
1246316,1,1
896010,1,1
1490658,1,1
746832,1,1
799038,1,1
799034,1,1
1246304,1,1
896028,1,1
1536147,1,1
1085805,1,1
896030,1,1
1245270,1,1
1246311,1,1
752376,1,1
746821,1,1
1085795,1,1
1313826,1,1
896021,1,1
790273,1,1
896267,1,1
896018,1,1
896272,1,1
746803,1,1
746814,1,1
966595,1,1
1547663,1,1
790283,1,1
896161,1,1
227682,0,0
285077,0,0
202702,0,0
203856,0,0
202877,0,0
202645,0,0
25105,0,0
202779,0,0
219356,0,0
216523,0,0
284516,0,0
1012208,0,0
755702,0,0
208680,0,0
207131,0,0
206199,0,0
205714,0,0
209245,0,0
260409,0,0
647127,0,0
668658,0,0
795097,0,0
284275,0,0
755976,0,0
260309,1,1
105392,0,0
205712,0,0
755703,0,0
206755,0,0
205702,0,0
260330,0,0
205710,0,0
803308,0,0
205717,0,0
208712,0,0
207136,0,0
207138,0,0
1244215,0,0
261044,1,1
582603,0,0
543492,1,1
105412,0,0
206997,0,0
668660,0,0
901649,0,0
105395,0,0
206988,0,0
824889,0,0
260305,1,1
208816,0,0
759719,1,1
808118,0,0
205683,0,0
201082,0,0
206990,0,0
670086,0,0
706544,1,1
1291380,1,1
1291101,1,1
1291103,1,1
1362211,1,1
102858,0,0
207141,0,0
1366558,0,0
1085767,1,1
1085730,1,1
574944,0,0
668657,0,0
647125,0,0
569628,0,0
575233,0,0
668659,0,0
567928,0,0
369183,0,0
368775,0,0
362067,1,1
365876,0,0
283077,0,0
309684,0,0
197582,0,0
197787,0,0
312614,0,0
309686,0,0
315187,0,0
197581,0,0
205301,0,0
197583,0,0
197579,0,0
310879,1,1
313979,0,0
198145,0,0
1012223,1,1
794979,0,0
793099,0,0
310899,0,0
197577,0,0
197782,0,0
643123,0,0
1085728,1,1
197783,0,0
643125,0,0
312615,0,0
197580,0,0
702306,0,0
198142,0,0
312617,0,0
198144,0,0
249569,0,0
247551,1,1
249066,0,0
199343,0,0
105411,0,0
198146,0,0
259966,0,0
343033,0,0
242882,0,0
199320,0,0
792957,0,0
1291082,1,1
1244214,0,0
429199,0,0
643127,0,0
746836,0,0
153173,1,1
198148,0,0
199967,0,0
429331,0,0
429198,0,0
197973,0,0
1294025,1,1
310868,1,1
544643,1,1
197576,0,0
328161,0,0
310878,1,1
436279,0,0
828362,1,1
1235049,1,1
1291085,1,1
312616,0,0
249241,0,0
351159,0,0
1012235,1,1
249731,0,0
670084,0,0
1248067,1,1
199771,0,0
204420,1,1
1545172,1,1
1246528,1,1
429196,0,0
311754,1,1
317474,0,0
333209,0,0
316584,0,0
315778,0,0
317346,0,0
315776,0,0
335473,0,0
315774,0,0
316582,0,0
316288,0,0
315775,0,0
446683,0,0
317475,0,0
315779,0,0
316285,0,0
317663,0,0
316579,0,0
332216,0,0
317427,0,0
315777,0,0
643124,0,0
328809,0,0
317426,0,0
452820,0,0
316581,0,0
316580,0,0
335529,0,0
316585,0,0
317629,0,0
316586,0,0
643126,0,0
316286,0,0
333210,0,0
370649,0,0
373583,0,0
371053,0,0
373575,0,0
370647,0,0
376186,0,0
381066,1,1
1039348,1,1
377723,1,1
371152,1,1
371726,1,1
372213,0,0
371728,0,0
452195,0,0
763181,0,0
834395,0,0
1013114,0,0
762675,0,0
763183,0,0
759696,0,0
795856,0,0
795858,0,0
804173,0,0
795860,0,0
5492,1,0
3264,0,0
1514,1,0
8638,0,0
19831,1,0
10759,1,0
8640,0,0
4452,0,0
6902,0,0
2878,0,0
48933,0,0
34372,0,0
55062,0,0
165516,0,0
